scenario,product,category,customer_type,user_activity,time_of_day,day_type,season,weather,discount,urgency,tone,emoji,notification
Festivals & Occasions,Cheesecake,Cheesecake,Occasional,App Open,Late Night,Weekend,Monsoon,Cold,Free Delivery,Low,Warm,🍰,Occasions big and small taste better with Cheesecake on the table.
Search & Discovery,Strawberry Cheesecake,Cheesecake,New,Search Performed,Morning,Weekday,Autumn,Cold,0%,Low,Luxury,🍰,Picking up where your search left off — Strawberry Cheesecake fits the bill.
Discounts & Promotions,Belgian Brownie Bites,Bakery Dessert,Returning,App Open,Evening,Weekday,Autumn,Rainy,Free Delivery,High,Minimal,🧁,Delivery is free right now — no minimum needed for Belgian Brownie Bites.
Cart & Purchase In10t,Coconut Almond Delight,Ice Cream,Inactive,Favoriting,Late Night,Weekday,Summer,Cold,40%,High,Premium,🍦,You put Coconut Almond Delight on your wishlist — want us to move it to your cart?
Cart & Purchase In10t,Vanilla Bean,Ice Cream,Inactive,Cart idle 1d,Night,Weekday,Monsoon,Cold,No Discount,Low,Minimal,🍦,Just checking — did you mean to leave Vanilla Bean behind for an hour?
Cart & Purchase In10t,Blueberry Cheesecake,Cheesecake,New,Favoriting,Night,Weekend,Monsoon,Hot,50%,High,Exciting,🍰,You put Blueberry Cheesecake on your wishlist — want us to move it to your cart?
Time & Context,Premium Tiramisu Twist,Jar Dessert,Premium,App Open,Afternoon,Weekday,Monsoon,Sunny,10%,Medium,Urgent,🍮,afternoon delivery is still open. Premium Tiramisu Twist is waiting.
Lifecycle & Re10tion,Roasted Almond Fudge,Ice Cream,Loyal,First App Open,Afternoon,Weekend,Winter,Cold,25%,High,Warm,🍦,First-timer perk: Roasted Almond Fudge at 25 % off on your maiden order.
Time & Context,Coconut Almond Delight,Ice Cream,Inactive,App Open,Night,Weekday,Summer,Sunny,10%,Medium,Minimal,🍦,night delivery is still open. Coconut Almond Delight is waiting.
Cart & Purchase In10t,Red Velvet Swirl,Ice Cream,Returning,Favoriting,Late Night,Weekend,Summer,Sunny,15%,Medium,Playful,🍦,That Red Velvet Swirl you hearted earlier is still available.
Discounts & Promotions,Rasmalai Cake Slice,Ice Cream,Loyal,App Open,Afternoon,Weekend,Spring,Sunny,Free Delivery,Medium,Warm,🍦,Delivery is free right now — no minimum needed for Rasmalai Cake Slice.
Cart & Purchase In10t,Premium Tiramisu Twist,Jar Dessert,Occasional,Order History View,Night,Weekend,Monsoon,Cloudy,40%,Low,Urgent,🍮,"Quick reorder: Premium Tiramisu Twist, everything exactly the same as last time."
Discounts & Promotions,Coffee Crunch,Ice Cream,Inactive,Subscription Page View,Morning,Weekday,Autumn,Cloudy,20%,Low,Warm,🍦,Recurring Coffee Crunch orders just got 20 % cheaper with a subscription.
Lifecycle & Re10tion,Vanilla Bean,Ice Cream,New,App Open,Night,Weekday,Summer,Cloudy,10%,High,Luxury,🍦,5 consecutive weeks! Vanilla Bean keeps the streak alive.
Transactional,Coffee Crunch,Ice Cream,Premium,Order Placed,Night,Weekday,Monsoon,Rainy,0%,Low,Friendly,🍦,Coffee Crunch order confirmed. We'll keep you posted as it moves.
Discounts & Promotions,Vanilla Bean,Ice Cream,Inactive,Promo Banner View,Morning,Weekend,Summer,Sunny,50%,High,Premium,🍦,"Flash offer — 50 % off Vanilla Bean, ending when the morning does."
Lifecycle & Re10tion,Choco Chip Cookie Sandwich,Bakery Dessert,Loyal,App Open,Morning,Weekend,Monsoon,Cold,30%,Medium,Warm,🧁,3 consecutive weeks! Choco Chip Cookie Sandwich keeps the streak alive.
Cart & Purchase In10t,Gulab Jamun Cheesecake,Cheesecake,Returning,Cart idle 6h,Late Night,Weekend,Summer,Cold,30%,Low,Friendly,🍰,Your Gulab Jamun Cheesecake cart item has been uncollected for an hour. Still yours if you want it.
Trends & Recommendations,Red Velvet Swirl,Ice Cream,New,Order History View,Afternoon,Weekday,Autumn,Cold,0%,Medium,Exciting,🍦,Our system says Red Velvet Swirl is a great next step for someone with your order history.
Festivals & Occasions,Chocolate Pastry,Bakery Dessert,Occasional,Home Feed View,Morning,Weekday,Summer,Cloudy,No Discount,Medium,Friendly,🧁,The calendar says celebrate with dessert — we say Chocolate Pastry.
Time & Context,Rose Thandai Kulfi,Kulfi,Loyal,App Open,Late Night,Weekday,Autumn,Cloudy,30%,Medium,Premium,🍡,late night delivery is still open. Rose Thandai Kulfi is waiting.
Cart & Purchase In10t,Cookie Dough Delight,Bakery Dessert,Loyal,Cart idle 1d,Late Night,Weekday,Summer,Rainy,50%,Medium,Friendly,🧁,Your Cookie Dough Delight cart item has been uncollected for a few hours. Still yours if you want it.
Social & Referral,Blueberry Cheesecake,Cheesecake,Premium,Home Feed View,Afternoon,Weekday,Monsoon,Cold,30%,Low,Premium,🍰,Need dessert for a crowd this weekday? Blueberry Cheesecake in bulk has you covered.
Trends & Recommendations,Strawberry Cheesecake,Cheesecake,Occasional,Home Feed View,Evening,Weekend,Summer,Rainy,25%,High,Premium,🍰,Sales chart says Strawberry Cheesecake is the undisputed champion this weekend in Pune.
Lifecycle & Re10tion,Lotus Biscoff Tart,Bakery Dessert,Inactive,Inactive,Night,Weekday,Autumn,Cloudy,25%,Low,Minimal,🧁,We miss you — it's been 13 days. Come back to Lotus Biscoff Tart with 25 % off.
Cart & Purchase In10t,Nutella Stuffed Croissant,Bakery Dessert,Returning,Cart idle 6h,Evening,Weekend,Summer,Sunny,Free Delivery,Low,Playful,🧁,Gentle nudge: Nutella Stuffed Croissant has been in checkout limbo for a few hours.
Time & Context,Gingerbread Kulfi Bar,Kulfi,Occasional,App Open,Evening,Weekday,Summer,Cold,15%,Medium,Urgent,🍡,"Weekday treat idea for Chennai: Gingerbread Kulfi Bar, delivered to your door."
Festivals & Occasions,Choco Lava Cupcakes,Bakery Dessert,Loyal,Home Feed View,Morning,Weekday,Spring,Rainy,10%,High,Friendly,🧁,Gifting someone this Holi? A box of Choco Lava Cupcakes always lands right.
Time & Context,Mango Delight,Ice Cream,Returning,App Open,Evening,Weekday,Autumn,Hot,15%,High,Urgent,🍦,"Weekday treat idea for Bengaluru: Mango Delight, delivered to your door."
Search & Discovery,Hot Fudge Sundae,Sundae,Returning,Search Performed,Evening,Weekend,Spring,Rainy,15%,Low,Playful,🍨,Picking up where your search left off — Hot Fudge Sundae fits the bill.
Lifecycle & Re10tion,Lotus Biscoff Tart,Bakery Dessert,Returning,Inactive,Morning,Weekday,Monsoon,Sunny,25%,High,Minimal,🧁,"Re-engage discount: 25 % off Lotus Biscoff Tart, because 50 days is long enough."
Time & Context,Kesar Pista,Ice Cream,Loyal,App Open,Late Night,Weekday,Spring,Sunny,20%,Medium,Exciting,🍦,"Weekday treat idea for Kolkata: Kesar Pista, delivered to your door."
App Updates,Choco Lava Cupcakes,Bakery Dessert,Returning,App Open,Morning,Weekend,Monsoon,Sunny,No Discount,Low,Urgent,🧁,Expansion news: more of Pune gets Choco Lava Cupcakes delivery starting today.
Time & Context,Chocolate Pastry,Bakery Dessert,Occasional,App Open,Evening,Weekday,Spring,Rainy,Free Delivery,Low,Premium,🧁,Looking out at rainy skies in Pune? Chocolate Pastry makes it better.
Trends & Recommendations,Cookie Dough Delight,Bakery Dessert,Premium,App Open,Morning,Weekend,Summer,Sunny,Free Delivery,Low,Urgent,🧁,Recommendation engine approved: Cookie Dough Delight matches your preferences.
Cart & Purchase In10t,Guava Chili Sorbet,Sorbet,Returning,Cart idle 6h,Evening,Weekday,Spring,Hot,50%,High,Friendly,🍧,Gentle nudge: Guava Chili Sorbet has been in checkout limbo for a few hours.
App Updates,Mango Chili Sorbet,Sorbet,Inactive,App Open,Afternoon,Weekday,Winter,Hot,0%,Low,Friendly,🍧,Expansion news: more of Hyderabad gets Mango Chili Sorbet delivery starting today.
Search & Discovery,Nutella Stuffed Croissant,Bakery Dessert,Returning,Category Browse,Evening,Weekday,Autumn,Rainy,10%,High,Exciting,🧁,Venturing into new territory? Nutella Stuffed Croissant is a great pick in that category.
App Updates,Premium Tiramisu Twist,Jar Dessert,Returning,App Open,Night,Weekend,Summer,Rainy,0%,Low,Urgent,🍮,New: you can now reorder Premium Tiramisu Twist directly from your notification tray.
Lifecycle & Re10tion,Coffee Crunch,Ice Cream,Returning,Inactive,Night,Weekday,Autumn,Cloudy,15%,Low,Exciting,🍦,50 days without an order. Here's 15 % off Coffee Crunch to make it easy.
Lifecycle & Re10tion,Mint Chocolate Chip,Ice Cream,Premium,First App Open,Evening,Weekday,Summer,Cloudy,25%,Low,Playful,🍦,You're new here — Mint Chocolate Chip with 25 % off is a great way to start.
Product Launches,Roasted Almond Fudge,Ice Cream,Premium,Home Feed View,Night,Weekday,Spring,Sunny,15%,Low,Exciting,🍦,Limited window only: Roasted Almond Fudge is here for this spring and then it's gone.
Product Launches,Gingerbread Kulfi Bar,Kulfi,Premium,Home Feed View,Afternoon,Weekday,Summer,Rainy,Buy1Get1,High,Exciting,🍡,"This batch of Gingerbread Kulfi Bar won't stick around. First come, first served."
Trends & Recommendations,Cookies n' Cream,Bakery Dessert,Loyal,Home Feed View,Night,Weekend,Summer,Cloudy,40%,Low,Exciting,🧁,Every leaderboard this week has Cookies n' Cream at the top.
Transactional,Rasmalai Cake Slice,Ice Cream,Premium,Order Placed,Morning,Weekday,Winter,Cold,No Discount,Low,Playful,🍦,Rasmalai Cake Slice order confirmed. We'll keep you posted as it moves.
Cart & Purchase In10t,Chocolate Pastry,Bakery Dessert,Loyal,App Open,Evening,Weekend,Monsoon,Cold,Free Delivery,Low,Warm,🧁,"Instant reorder waiting for you: Chocolate Pastry, ready to confirm."
Product Launches,Black Currant,Ice Cream,Returning,Notify Me Clicked,Afternoon,Weekend,Winter,Rainy,Buy1Get1,Low,Premium,🍦,Black Currant is back after high demand. We made extra this time.
App Updates,Banana Caramel Swirl,Ice Cream,Inactive,App Open,Afternoon,Weekend,Summer,Rainy,No Discount,Low,Premium,🍦,Delivery just opened up in more of Bengaluru — Banana Caramel Swirl can now reach you.
Product Launches,Choco Lava Cupcakes,Bakery Dessert,Occasional,Home Feed View,Morning,Weekend,Spring,Hot,0%,High,Friendly,🧁,Menu just got bigger: say hello to Choco Lava Cupcakes.
Transactional,Red Velvet Cheesecake Bites,Cheesecake,Occasional,Order Delivered,Late Night,Weekday,Spring,Cold,0%,Low,Funny,🍰,Delivery done — Red Velvet Cheesecake Bites is with you now. Enjoy every bite.
Search & Discovery,Strawberry Cheesecake,Cheesecake,Loyal,Viewed Product,Evening,Weekday,Winter,Sunny,Buy1Get1,High,Minimal,🍰,You scrolled past Strawberry Cheesecake earlier. Worth a second look?
Trends & Recommendations,Choco Lava Cupcakes,Bakery Dessert,Occasional,App Open,Afternoon,Weekend,Summer,Sunny,0%,Low,Friendly,🧁,"If you liked your past orders, Choco Lava Cupcakes is your next logical choice."
Search & Discovery,Mango Delight,Ice Cream,Loyal,Scrolled Category,Afternoon,Weekend,Summer,Cold,40%,Medium,Luxury,🍦,We noticed Mango Delight on your recent browses — should we add it to your cart?
Search & Discovery,Belgian Chocolate,Ice Cream,Inactive,Scrolled Category,Afternoon,Weekend,Winter,Sunny,Buy1Get1,Medium,Premium,🍦,Browsed Belgian Chocolate this afternoon and moved on. Having second thoughts?
Product Launches,Belgian Chocolate,Ice Cream,Occasional,Home Feed View,Late Night,Weekday,Spring,Cloudy,No Discount,High,Exciting,🍦,Limited window only: Belgian Chocolate is here for this spring and then it's gone.
Cart & Purchase In10t,Cookie Dough Delight,Bakery Dessert,Loyal,Browsing,Evening,Weekend,Spring,Rainy,40%,Low,Warm,🧁,Restocked in Bengaluru: Cookie Dough Delight is live on the menu again.
Transactional,Cookies n' Cream,Bakery Dessert,Returning,Payment Attempted,Morning,Weekend,Monsoon,Sunny,0%,High,Premium,🧁,Couldn't complete your Cookies n' Cream payment — try a different method?
Transactional,Choco Lava Cupcakes,Bakery Dessert,Premium,Order Delivered,Morning,Weekday,Winter,Hot,0%,Low,Urgent,🧁,Choco Lava Cupcakes arrived safely. Let us know how it was.
Transactional,Black Currant,Ice Cream,Returning,Payment Attempted,Late Night,Weekday,Spring,Cold,0%,High,Warm,🍦,Couldn't complete your Black Currant payment — try a different method?
Product Launches,Gulab Jamun Cheesecake,Cheesecake,Occasional,Home Feed View,Evening,Weekday,Winter,Sunny,0%,Medium,Funny,🍰,"This batch of Gulab Jamun Cheesecake won't stick around. First come, first served."
Time & Context,Pistachio Rose,Ice Cream,Inactive,App Open,Morning,Weekday,Monsoon,Cold,Buy1Get1,High,Playful,🍦,Looking out at cold skies in Bengaluru? Pistachio Rose makes it better.
Discounts & Promotions,Belgian Choco Fudge,Ice Cream,Premium,App Open,Evening,Weekday,Winter,Hot,30%,Medium,Funny,🍦,Your loyalty points converted to 30 % off Belgian Choco Fudge — enjoy.
Product Launches,Premium Tiramisu Twist,Jar Dessert,Premium,Home Feed View,Evening,Weekday,Spring,Sunny,30%,High,Exciting,🍮,Bundle drop: Premium Tiramisu Twist is now part of our new combo collection.
Social & Referral,Lotus Biscoff Tart,Bakery Dessert,Inactive,Home Feed View,Morning,Weekday,Monsoon,Sunny,15%,Low,Minimal,🧁,Hosting a gathering? Lotus Biscoff Tart party packs ship in bulk.
Cart & Purchase In10t,Guava Chili Sorbet,Sorbet,Returning,Cart idle 1d,Evening,Weekend,Winter,Sunny,Buy1Get1,High,Minimal,🍧,Gentle nudge: Guava Chili Sorbet has been in checkout limbo for two hours.
Cart & Purchase In10t,Mango Cheesecake Jar,Cheesecake,Loyal,Cart idle 6h,Morning,Weekday,Summer,Hot,Free Delivery,High,Exciting,🍰,Your Mango Cheesecake Jar cart item has been uncollected for half a day. Still yours if you want it.
Discounts & Promotions,Strawberry Cheesecake,Cheesecake,Returning,App Open,Late Night,Weekend,Winter,Sunny,Free Delivery,Medium,Minimal,🍰,Delivery is free right now — no minimum needed for Strawberry Cheesecake.
Search & Discovery,Caramel Pecan Tart,Bakery Dessert,Inactive,Search No Result,Late Night,Weekday,Monsoon,Rainy,Free Delivery,High,Urgent,🧁,Search came up empty — Caramel Pecan Tart is our best suggestion for that craving.
Cart & Purchase In10t,Rasmalai Cake Slice,Ice Cream,New,Browsing,Late Night,Weekday,Monsoon,Cloudy,40%,Low,Warm,🍦,The Rasmalai Cake Slice shortage is over — place your order before the next sellout.
Festivals & Occasions,Salted Caramel Brownie Bliss,Bakery Dessert,Premium,Home Feed View,Late Night,Weekend,Summer,Hot,0%,Low,Warm,🧁,National dessert day calls for exactly one thing: Salted Caramel Brownie Bliss.
Cart & Purchase In10t,Watermelon Sorbet,Sorbet,Inactive,Order History View,Evening,Weekday,Winter,Sunny,No Discount,Medium,Luxury,🍧,"Instant reorder waiting for you: Watermelon Sorbet, ready to confirm."
Product Launches,Salted Caramel Brownie,Bakery Dessert,Returning,Home Feed View,Night,Weekday,Summer,Cold,0%,High,Funny,🧁,Bundle drop: Salted Caramel Brownie is now part of our new combo collection.
Lifecycle & Re10tion,Caramel Pecan Tart,Bakery Dessert,Occasional,App Open,Late Night,Weekday,Winter,Sunny,50%,Medium,Warm,🧁,13 consecutive weeks! Caramel Pecan Tart keeps the streak alive.
Festivals & Occasions,Mango Tango,Ice Cream,Occasional,Home Feed View,Morning,Weekend,Summer,Rainy,25%,Medium,Exciting,🍦,National dessert day calls for exactly one thing: Mango Tango.
Product Launches,Kulfi,Kulfi,Inactive,Home Feed View,Night,Weekday,Monsoon,Cold,50%,High,Warm,🍡,Catch Kulfi while you can — it's a limited edition release.
Time & Context,Coffee Toffee Crunch,Ice Cream,Occasional,App Open,Night,Weekend,Autumn,Cloudy,50%,Low,Playful,🍦,Your night deserves Coffee Toffee Crunch before anything else.
Search & Discovery,Chocolate Brownie Ice Cream,Bakery Dessert,Inactive,Search Performed,Late Night,Weekday,Winter,Cloudy,No Discount,Medium,Funny,🧁,Picking up where your search left off — Chocolate Brownie Ice Cream fits the bill.
Cart & Purchase In10t,Nutella Brownie,Bakery Dessert,Inactive,Cart idle 2h,Late Night,Weekend,Autumn,Cold,20%,High,Urgent,🧁,Gentle nudge: Nutella Brownie has been in checkout limbo for two hours.
Festivals & Occasions,Nutella Brownie,Bakery Dessert,Inactive,App Open,Night,Weekday,Spring,Sunny,25%,Low,Funny,🧁,Marking a moment today? Make it memorable with Nutella Brownie.
Cart & Purchase In10t,Coffee Toffee Crunch,Ice Cream,Loyal,Cart idle 6h,Afternoon,Weekend,Summer,Cloudy,50%,Low,Exciting,🍦,"Cart status update: Coffee Toffee Crunch is still there after most of the day, patiently."
Cart & Purchase In10t,Mango Chili Sorbet,Sorbet,Occasional,App Open,Afternoon,Weekday,Summer,Hot,15%,High,Funny,🍧,"Quick reorder: Mango Chili Sorbet, everything exactly the same as last time."
Time & Context,Sorbet Cup,Sorbet,Inactive,App Open,Afternoon,Weekend,Summer,Rainy,40%,Medium,Funny,🍧,Burning the midnight oil? Fuel up with Sorbet Cup.
Cart & Purchase In10t,Premium Tiramisu Twist,Jar Dessert,New,Notify Me Clicked,Late Night,Weekday,Winter,Cold,30%,Medium,Funny,🍮,Restocked in Mumbai: Premium Tiramisu Twist is live on the menu again.
Social & Referral,Mango Cheesecake Jar,Cheesecake,Loyal,Group Cart View,Evening,Weekend,Summer,Rainy,15%,Low,Minimal,🍰,Group orders for Mango Cheesecake Jar get 15 % off when you hit 4+ people.
Social & Referral,Choco Chip Cookie Sandwich,Bakery Dessert,Premium,Home Feed View,Late Night,Weekday,Monsoon,Hot,Free Delivery,High,Funny,🧁,Need dessert for a crowd this weekday? Choco Chip Cookie Sandwich in bulk has you covered.
Cart & Purchase In10t,Nutella Croissant,Bakery Dessert,Premium,Notify Me Clicked,Evening,Weekday,Autumn,Sunny,10%,Medium,Warm,🧁,Back in stock and ready: Nutella Croissant is available to order again right now.
Search & Discovery,Choco Lava Brownie,Bakery Dessert,Loyal,Category Browse,Evening,Weekday,Monsoon,Hot,No Discount,Medium,Friendly,🧁,Customers in Mumbai who explored this section always end up with Choco Lava Brownie.
Search & Discovery,Tricolor Kulfi Bar,Kulfi,Premium,Search No Result,Evening,Weekday,Winter,Sunny,20%,Medium,Playful,🍡,"We couldn't find that, but customers who searched similarly loved Tricolor Kulfi Bar."
Social & Referral,Nutella Brownie,Bakery Dessert,Returning,Home Feed View,Late Night,Weekday,Summer,Cold,0%,Medium,Minimal,🧁,Hosting a gathering? Nutella Brownie party packs ship in bulk.
Product Launches,Kesar Pista,Ice Cream,Loyal,Home Feed View,Late Night,Weekday,Winter,Hot,10%,Medium,Urgent,🍦,Limited window only: Kesar Pista is here for this winter and then it's gone.
Festivals & Occasions,Rose Pistachio Brownie,Bakery Dessert,Returning,Home Feed View,Late Night,Weekend,Winter,Cloudy,40%,Low,Urgent,🧁,The calendar says celebrate with dessert — we say Rose Pistachio Brownie.
Festivals & Occasions,Coffee Caramel Swirl,Ice Cream,New,Home Feed View,Late Night,Weekday,Winter,Rainy,Buy1Get1,High,Friendly,🍦,Independence Day is right around the corner — stock up on Coffee Caramel Swirl now.
Lifecycle & Re10tion,Black Forest Pastry,Bakery Dessert,Premium,App Open,Morning,Weekend,Monsoon,Rainy,30%,Low,Exciting,🧁,13 consecutive weeks! Black Forest Pastry keeps the streak alive.
Product Launches,Belgian Brownie Bites,Bakery Dessert,Occasional,Home Feed View,Night,Weekend,Winter,Rainy,40%,Medium,Exciting,🧁,We've been working on Belgian Brownie Bites for a while. It's finally here.
Social & Referral,Red Velvet Cheesecake Bites,Cheesecake,Premium,Referral Page View,Night,Weekend,Monsoon,Cloudy,20%,Low,Minimal,🍰,"Give 20 % off to a friend on Red Velvet Cheesecake Bites, get the same back."
App Updates,Rose Pistachio Brownie,Bakery Dessert,Premium,App Open,Afternoon,Weekday,Summer,Hot,0%,Low,Playful,🧁,Under-the-hood fixes: ordering Rose Pistachio Brownie should feel noticeably snappier.
Product Launches,Mango Chili Sorbet,Sorbet,Loyal,Home Feed View,Late Night,Weekend,Winter,Cold,Buy1Get1,Low,Playful,🍧,We've been working on Mango Chili Sorbet for a while. It's finally here.
Time & Context,Dark Chocolate Truffle,Ice Cream,Occasional,App Open,Afternoon,Weekend,Monsoon,Sunny,Free Delivery,Medium,Playful,🍦,Your afternoon deserves Dark Chocolate Truffle before anything else.
Social & Referral,Sorbet Cup,Sorbet,New,Home Feed View,Afternoon,Weekend,Monsoon,Cloudy,Buy1Get1,Low,Urgent,🍧,Need dessert for a crowd this weekend? Sorbet Cup in bulk has you covered.
Lifecycle & Re10tion,Red Velvet,Ice Cream,Occasional,App Open,Night,Weekday,Summer,Hot,Free Delivery,High,Luxury,🍦,3 consecutive weeks! Red Velvet keeps the streak alive.
Discounts & Promotions,Mint Chocolate Chip,Ice Cream,Loyal,App Open,Night,Weekday,Autumn,Sunny,Free Delivery,Low,Luxury,🍦,"We're covering your delivery cost today for Mint Chocolate Chip, no strings attached."
Transactional,Chocolate Pastry,Bakery Dessert,Loyal,Order Dispatched,Late Night,Weekend,Winter,Sunny,No Discount,Medium,Premium,🧁,Your Chocolate Pastry is out with the delivery partner — 31 minutes to go.
Transactional,Tiramisu Twist,Jar Dessert,Inactive,Order Dispatched,Evening,Weekend,Monsoon,Sunny,No Discount,Medium,Luxury,🍮,"En route now: Tiramisu Twist, arriving in approximately 44 minutes."
Trends & Recommendations,Strawberry,Ice Cream,New,App Open,Afternoon,Weekday,Summer,Sunny,10%,High,Warm,🍦,"If you liked your past orders, Strawberry is your next logical choice."
Social & Referral,Strawberry Cheesecake,Cheesecake,Inactive,Group Cart View,Night,Weekend,Autumn,Cloudy,20%,Medium,Premium,🍰,Group orders for Strawberry Cheesecake get 20 % off when you hit 4+ people.
Trends & Recommendations,Rose Pistachio Brownie,Bakery Dessert,Occasional,Home Feed View,Morning,Weekend,Autumn,Hot,30%,High,Friendly,🧁,Every leaderboard this week has Rose Pistachio Brownie at the top.
Time & Context,Kulfi,Kulfi,Loyal,App Open,Morning,Weekday,Winter,Sunny,30%,Medium,Minimal,🍡,Set a sweet tone for your day — Kulfi this morning.
Cart & Purchase In10t,Mango Cheesecake Jar,Cheesecake,Premium,Wishlist View,Morning,Weekday,Spring,Hot,10%,High,Premium,🍰,You put Mango Cheesecake Jar on your wishlist — want us to move it to your cart?
Time & Context,Sorbet Cup,Sorbet,New,App Open,Morning,Weekday,Winter,Cloudy,25%,High,Exciting,🍧,This weekday in Pune has Sorbet Cup writ10 all over it.
Festivals & Occasions,Oreo Sundae,Sundae,Premium,App Open,Evening,Weekend,Autumn,Cloudy,25%,Low,Urgent,🍨,Occasions big and small taste better with Oreo Sundae on the table.
Festivals & Occasions,Nutella Croissant,Bakery Dessert,New,Home Feed View,Late Night,Weekend,Monsoon,Rainy,0%,Low,Exciting,🧁,Food holidays exist for a reason. Nutella Croissant is the reason today.
App Updates,Cookies n' Cream,Bakery Dessert,Loyal,App Open,Night,Weekend,Autumn,Cloudy,0%,Low,Warm,🧁,App feature drop — split payments now work on all Cookies n' Cream orders.
Social & Referral,Chocolate Brownie Ice Cream,Bakery Dessert,Returning,Group Cart View,Night,Weekend,Monsoon,Hot,15%,Low,Premium,🧁,Bring the squad — group Chocolate Brownie Ice Cream orders save everyone 15 %.
Festivals & Occasions,Premium Tiramisu Twist,Jar Dessert,Returning,Home Feed View,Morning,Weekend,Summer,Hot,15%,Medium,Playful,🍮,Gifting someone this Valentine's Day? A box of Premium Tiramisu Twist always lands right.
Cart & Purchase In10t,Oreo Sundae,Sundae,Inactive,Browsing,Afternoon,Weekday,Spring,Cloudy,10%,Medium,Playful,🍨,We lowered the price on Oreo Sundae by 10 %. Your move.
Discounts & Promotions,Choco Chip Cookie Sandwich,Bakery Dessert,Premium,App Open,Morning,Weekend,Monsoon,Hot,20%,High,Exciting,🧁,Reward unlocked: 20 % off your next Choco Chip Cookie Sandwich for being a regular.
Product Launches,Choco Lava Brownie,Bakery Dessert,Loyal,Home Feed View,Morning,Weekday,Summer,Sunny,25%,Medium,Premium,🧁,Limited window only: Choco Lava Brownie is here for this summer and then it's gone.
Festivals & Occasions,Choco Walnut Brownie,Bakery Dessert,Loyal,App Open,Evening,Weekday,Summer,Hot,10%,High,Warm,🧁,Occasions big and small taste better with Choco Walnut Brownie on the table.
Trends & Recommendations,Butterscotch Pecan,Ice Cream,Inactive,App Open,Morning,Weekday,Winter,Sunny,50%,Medium,Warm,🍦,Our system says Butterscotch Pecan is a great next step for someone with your order history.
Discounts & Promotions,Sheer Khurma Kulfi,Kulfi,New,App Open,Night,Weekday,Summer,Hot,15%,Low,Urgent,🍡,Your loyalty points converted to 15 % off Sheer Khurma Kulfi — enjoy.
Discounts & Promotions,Guava Chili Sorbet,Sorbet,Loyal,Coupon Page View,Late Night,Weekend,Spring,Cold,20%,High,Exciting,🍧,Check your wallet — a 20 % coupon for Guava Chili Sorbet is sitting there.
Product Launches,Choco Walnut Brownie,Bakery Dessert,New,Home Feed View,Afternoon,Weekend,Summer,Sunny,25%,Low,Warm,🧁,New arrival: Choco Walnut Brownie is officially on the menu starting today.
Search & Discovery,Tiramisu Twist,Jar Dessert,Premium,Search Performed,Evening,Weekend,Monsoon,Cold,25%,High,Exciting,🍮,"You searched, we found: Tiramisu Twist is likely what you had in mind."
Transactional,Hazelnut Praline,Ice Cream,Returning,Payment Attempted,Night,Weekday,Spring,Cloudy,0%,High,Luxury,🍦,Hazelnut Praline order on hold: payment failed. Tap to retry now.
Lifecycle & Re10tion,Black Forest Pastry,Bakery Dessert,Inactive,First App Open,Late Night,Weekday,Autumn,Cold,20%,Medium,Luxury,🧁,You're new here — Black Forest Pastry with 20 % off is a great way to start.
Cart & Purchase In10t,Cookie Dough Delight,Bakery Dessert,Occasional,Cart idle 1d,Night,Weekend,Autumn,Sunny,40%,Medium,Urgent,🧁,"Cart status update: Cookie Dough Delight is still there after half a day, patiently."
Product Launches,Banana Caramel Swirl,Ice Cream,Inactive,Home Feed View,Evening,Weekend,Winter,Hot,20%,Medium,Premium,🍦,We've been working on Banana Caramel Swirl for a while. It's finally here.
Cart & Purchase In10t,Nutella Croissant,Bakery Dessert,New,Browsing,Night,Weekday,Spring,Cold,20%,Low,Warm,🧁,Price update on Nutella Croissant: down by 20 % since you last checked.
Discounts & Promotions,Triple Chocolate Brownie Sundae,Sundae,Inactive,Coupon Page View,Morning,Weekday,Spring,Hot,10%,Low,Funny,🍨,Check your wallet — a 10 % coupon for Triple Chocolate Brownie Sundae is sitting there.
Cart & Purchase In10t,Guava Chili Sorbet,Sorbet,Loyal,Order History View,Late Night,Weekday,Winter,Sunny,40%,Medium,Urgent,🍧,"Tap once, get Guava Chili Sorbet again — same specs, same joy."
Trends & Recommendations,Choco Lava Brownie,Bakery Dessert,Inactive,Home Feed View,Morning,Weekend,Autumn,Hot,15%,Low,Warm,🧁,Fun fact: 21 people in Kolkata ordered Choco Lava Brownie just today.
Discounts & Promotions,Triple Chocolate Brownie Sundae,Sundae,Loyal,App Open,Morning,Weekday,Monsoon,Cold,Free Delivery,Low,Funny,🍨,Delivery is free right now — no minimum needed for Triple Chocolate Brownie Sundae.
Transactional,Black Forest Pastry,Bakery Dessert,Loyal,Payment Attempted,Afternoon,Weekday,Monsoon,Hot,0%,High,Exciting,🧁,Black Forest Pastry order on hold: payment failed. Tap to retry now.
Discounts & Promotions,Strawberry Cheesecake,Cheesecake,Occasional,App Open,Afternoon,Weekday,Winter,Cloudy,Free Delivery,High,Minimal,🍰,"We're covering your delivery cost today for Strawberry Cheesecake, no strings attached."
Transactional,Black Forest Pastry,Bakery Dessert,New,Order Dispatched,Late Night,Weekend,Autumn,Cloudy,No Discount,Medium,Friendly,🧁,"En route now: Black Forest Pastry, arriving in approximately 23 minutes."
